City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
severo-kurilsk,100,RU,1580372527,87,50.68,156.12,16.3,3.53
corn island,54,NI,1580372527,71,12.17,-83.04,79.39,10.6
kapaa,20,US,1580372462,83,22.08,-159.32,69.8,8.05
bahia blanca,0,AR,1580372525,37,-38.72,-62.27,57.47,16.69
ahome,0,MX,1580372528,94,25.92,-109.18,57.99,3.0
kampong cham,32,KH,1580372528,37,11.99,105.46,90.93,5.77
khatanga,97,RU,1580372529,98,71.97,102.5,-17.05,3.4
qaanaaq,100,GL,1580372529,96,77.48,-69.36,-17.9,2.42
langham,40,CA,1580372529,92,52.37,-106.97,19.4,12.75
busselton,29,AU,1580372529,28,-33.65,115.33,73.0,18.48
bambous virieux,20,MU,1580372529,54,-20.34,57.76,84.2,8.05
san blas,100,MX,1580372530,74,21.52,-105.27,72.18,6.51
lagoa,67,PT,1580372530,89,39.05,-27.98,64.33,18.54
victoria,0,HK,1580372290,23,22.29,114.16,68.0,11.41
oum hadjer,98,TD,1580372530,7,13.3,19.7,77.81,11.81
ushuaia,75,AR,1580372531,66,-54.8,-68.3,48.2,21.92
yellowknife,90,CA,1580372531,92,62.46,-114.35,17.01,10.29
east london,40,ZA,1580372389,88,-33.02,27.91,68.0,8.05
faanui,100,PF,1580372531,72,-16.48,-151.75,81.66,11.59
neiafu,90,TO,1580372531,81,-18.65,-173.98,83.21,8.05
najran,33,SA,1580372532,23,17.49,44.13,73.4,6.93
guerrero negro,0,MX,1580372532,88,27.98,-114.06,57.42,9.55
santa fe,83,AR,1580372532,83,-31.63,-60.7,69.01,7.0
butaritari,100,KI,1580372532,77,3.07,172.79,84.67,7.87
georgetown,20,MY,1580372395,55,5.41,100.34,91.4,4.7
cape town,0,ZA,1580372524,44,-33.93,18.42,81.0,11.41
aswan,0,EG,1580372533,27,24.09,32.91,67.28,8.84
petauke,100,ZM,1580372533,97,-14.24,31.33,68.99,2.35
sumbe,100,AO,1580372533,77,-11.21,13.84,80.24,3.0
coihaique,75,CL,1580372533,76,-45.58,-72.07,50.0,6.93
rikitea,100,PF,1580372534,75,-23.12,-134.97,79.36,10.33
hermanus,0,ZA,1580372534,65,-34.42,19.23,81.0,13.0
vanavara,100,RU,1580372534,88,60.34,102.28,5.38,11.27
nemuro,75,JP,1580372534,100,43.32,145.57,33.8,17.22
saint george,1,US,1580372534,55,37.1,-113.58,39.2,9.17
souillac,20,MU,1580372535,54,-20.52,57.52,84.2,8.05
erenhot,0,CN,1580372535,77,43.65,111.98,21.4,10.65
bluff,8,NZ,1580372535,60,-46.6,168.33,66.0,18.99
belyy yar,0,RU,1580372535,47,53.6,91.39,12.2,11.18
meulaboh,100,ID,1580372536,67,4.14,96.13,82.85,9.64
narsaq,71,GL,1580372536,56,60.92,-46.05,14.0,8.05
avarua,0,CK,1580372536,83,-21.21,-159.78,80.6,10.29
vaini,40,TO,1580372536,88,-21.2,-175.2,80.6,4.7
albany,20,US,1580372457,67,42.6,-73.97,19.0,5.82
castro,100,BR,1580372537,98,-24.79,-50.01,63.19,2.08
chokurdakh,99,RU,1580372537,98,70.63,147.92,-15.48,6.8
pevek,100,RU,1580372537,98,69.7,170.31,-17.9,3.69
mataura,0,NZ,1580372537,60,-46.19,168.86,66.0,18.99
port alfred,84,ZA,1580372537,75,-33.59,26.89,73.99,5.99
victoria point,20,AU,1580372538,69,-27.58,153.3,82.99,10.29
nikolskoye,90,RU,1580372538,100,59.7,30.79,30.99,11.18
cayenne,75,GF,1580372538,88,4.93,-52.33,78.8,3.36
el alto,0,PE,1580372538,74,-4.27,-81.21,71.31,5.64
berdigestyakh,100,RU,1580372539,96,62.1,126.7,-9.85,4.83
amahai,70,ID,1580372539,64,-3.33,128.92,86.36,2.33
san patricio,100,MX,1580372539,74,19.22,-104.7,74.55,3.09
san ignacio,40,BZ,1580372539,100,17.16,-89.07,73.4,1.5
carutapera,96,BR,1580372539,81,-1.2,-46.02,81.68,13.2
charters towers,100,AU,1580372540,81,-20.1,146.27,78.71,13.44
bonito,27,BR,1580372540,90,-21.12,-56.48,72.97,8.9
chaplynka,98,UA,1580372540,50,46.37,33.54,43.43,13.09
bredasdorp,20,ZA,1580372540,56,-34.53,20.04,73.99,23.04
